category|merchant_name
gas_transport|fraud_Tillman, Dickinson and Labadie
gas_transport|fraud_Kuvalis Ltd
gas_transport|fraud_Robel, Cummerata and Prosacco
gas_transport|fraud_Bernhard Inc
gas_transport|fraud_Kling Inc
gas_transport|fraud_Rodriguez Group
gas_transport|fraud_Brekke and Sons
gas_transport|fraud_Raynor, Reinger and Hagenes
gas_transport|fraud_Erdman-Kertzmann
gas_transport|fraud_Bartoletti-Wunsch
gas_transport|fraud_Schaefer, Maggio and Daugherty
gas_transport|fraud_Streich, Hansen and Veum
gas_transport|fraud_Friesen-D'Amore
gas_transport|fraud_Parisian and Sons
gas_transport|fraud_Schaefer, McGlynn and Bosco
gas_transport|fraud_Reilly, Heaney and Cole
gas_transport|fraud_Bins-Rice
gas_transport|fraud_Prohaska-Murray
gas_transport|fraud_Kutch LLC
gas_transport|fraud_Corwin-Collins
gas_transport|fraud_Sporer Inc
gas_transport|fraud_Heller-Langosh
gas_transport|fraud_Torp-Labadie
gas_transport|fraud_Eichmann, Bogan and Rodriguez
gas_transport|fraud_Stroman, Hudson and Erdman
gas_transport|fraud_Cummings LLC
gas_transport|fraud_Greenholt, Jacobi and Gleason
gas_transport|fraud_Mraz-Herzog
gas_transport|fraud_Olson, Becker and Koch
gas_transport|fraud_Raynor, Feest and Miller
gas_transport|fraud_Ledner-Pfannerstill
gas_transport|fraud_Cummerata-Jones
gas_transport|fraud_Emard Inc
gas_transport|fraud_Luettgen PLC
gas_transport|fraud_Huels-Nolan
gas_transport|fraud_Zieme, Bode and Dooley
gas_transport|fraud_Conroy-Cruickshank
gas_transport|fraud_Harber Inc
gas_transport|fraud_Koss and Sons
gas_transport|fraud_Kutch, Hermiston and Farrell
gas_transport|fraud_Huels-Hahn
gas_transport|fraud_Harris Inc
gas_transport|fraud_Connelly, Reichert and Fritsch
gas_transport|fraud_Lind, Huel and McClure
gas_transport|fraud_Schmitt Inc
gas_transport|fraud_Marks Inc
gas_transport|fraud_Berge LLC
gas_transport|fraud_Christiansen, Goyette and Schamberger
gas_transport|fraud_Friesen-Stamm
gas_transport|fraud_Jenkins, Hauck and Friesen
grocery_net|fraud_Hills-Olson
grocery_net|fraud_VonRueden Group
grocery_net|fraud_Murray Ltd
grocery_net|fraud_Bernier, Streich and Jewess
grocery_net|fraud_Kohler, Lindgren and Koelpin
grocery_net|fraud_Harris, Gusikowski and Heaney
grocery_net|fraud_Wiegand-Lowe
