Date,AC.PA,BNP.PA,CAP.PA,ENGI.PA,G.MI,RACE.MI,SAN.PA,TIT.MI
2018-01-02,43.47999954223633,62.09000015258789,99.0,14.229999542236328,15.020000457763672,87.30000305175781,71.76000213623047,0.7254999876022339
2018-01-03,43.310001373291016,62.63999938964844,101.0,14.289999961853027,14.890000343322754,88.80000305175781,72.06999969482422,0.7250000238418579
2018-01-04,43.59999847412109,63.77000045776367,101.3499984741211,14.515000343322754,15.0,92.5,73.0,0.734000027179718
2018-01-05,43.77000045776367,63.88999938964844,102.5,14.595000267028809,15.199999809265137,93.3499984741211,74.36000061035156,0.7384999990463257
2018-01-06,43.973333994547524,64.0933329264323,102.46666717529297,14.626666704813639,15.203333218892416,93.78333282470703,74.3566665649414,0.7431666652361552
2018-01-07,44.17666753133138,64.29666646321614,102.43333435058594,14.65833314259847,15.206666628519693,94.21666717529297,74.35333251953125,0.7478333314259847
2018-01-08,44.380001068115234,64.5,102.4000015258789,14.6899995803833,15.210000038146973,94.6500015258789,74.3499984741211,0.7524999976158142
2018-01-09,45.04999923706055,65.43000030517578,104.4000015258789,14.68000030517578,15.399999618530272,95.9000015258789,74.23999786376953,0.7519999742507935
2018-01-10,45.13999938964844,66.43000030517578,104.1500015258789,14.649999618530272,15.739999771118164,95.6500015258789,73.33999633789062,0.7519999742507935
2018-01-11,45.619998931884766,67.0,105.3499984741211,14.670000076293944,15.720000267028809,96.9499969482422,72.9000015258789,0.7480000257492065
2018-01-12,45.79999923706055,67.45999908447266,106.3499984741211,14.5600004196167,15.670000076293944,97.0999984741211,73.66999816894531,0.7434999942779541
2018-01-13,45.86333338419596,67.48333231608073,106.33333333333333,14.535000165303549,15.673333485921223,97.03333282470703,73.51333109537761,0.7418333292007446
2018-01-14,45.92666753133138,67.5066655476888,106.31666819254556,14.509999910990397,15.6766668955485,96.96666717529297,73.35666402180989,0.7401666641235352
2018-01-15,45.9900016784668,67.52999877929688,106.3000030517578,14.484999656677246,15.68000030517578,96.9000015258789,73.19999694824219,0.7384999990463257
2018-01-16,45.959999084472656,67.01000213623047,106.3000030517578,14.65999984741211,15.84000015258789,97.1500015258789,73.4000015258789,0.7365000247955322
2018-01-17,45.34999847412109,66.37999725341797,106.0500030517578,14.550000190734863,15.710000038146973,97.4499969482422,72.87000274658203,0.7245000004768372
2018-01-18,45.2400016784668,66.62999725341797,106.5500030517578,14.4350004196167,15.800000190734863,97.4499969482422,72.37000274658203,0.7174999713897705
2018-01-19,45.9900016784668,66.94999694824219,108.4499969482422,14.420000076293944,16.170000076293945,98.6500015258789,72.94999694824219,0.7210000157356262
