TradeId,Ticker,Book,Product,Quantity,Strike,Maturity,OptionType
Trd_0,MSFT,EQ_SMAL_EM,EQ_Option,-100,212.341796875,2033-11-24,put
Trd_1,OXY,EQ_WAREHOU,EQ_Option,-50,16.48699951171875,2040-03-21,put
Trd_2,AAPL,EQ_STRUCT,EQ_Option,-100,384.6700134277344,2023-01-26,call
Trd_3,MSFT,EQ_WAREHOU,EQ_Option,-100,213.7400054931641,2033-08-14,call
Trd_4,OXY,EQ_WAREHOU,EQ_Option,50,16.59000015258789,2020-09-29,call
Trd_5,MSFT,EQ_SMAL_EM,EQ_Option,-100,212.341796875,2027-09-15,put
Trd_6,AAPL,EQ_WAREHOU,EQ_Option,50,381.3299865722656,2024-03-27,put
Trd_7,AAPL,EQ_LARG_DM,EQ_Option,-100,382.20001220703125,2028-08-26,call
Trd_8,AAPL,EQ_WAREHOU,EQ_Option,-100,382.6830139160156,2021-04-26,put
Trd_9,AAPL,EQ_SMAL_EM,EQ_Option,50,382.7016906738281,2035-12-06,put
Trd_10,AAPL,EQ_VOL_HED,EQ_Option,50,383.4999084472656,2024-05-12,put
Trd_11,AAPL,EQ_LARG_DM,EQ_Option,-100,382.32861328125,2034-07-25,call
Trd_12,AAPL,EQ_STRUCT,EQ_Option,50,382.3500061035156,2033-04-12,call
Trd_13,MSFT,EQ_SMAL_EM,EQ_Option,50,213.6300048828125,2026-08-16,call
Trd_14,AAPL,EQ_WAREHOU,EQ_Option,100,382.3800048828125,2024-12-16,call
Trd_15,AAPL,EQ_STRUCT,EQ_Option,100,384.3699951171875,2029-08-02,call
Trd_16,AAPL,EQ_STRUCT,EQ_Option,50,383.4100036621094,2029-09-08,put
Trd_17,MSFT,EQ_LARG_DM,EQ_Option,-100,214.6999969482422,2037-05-06,put
Trd_18,MSFT,EQ_LARG_DM,EQ_Option,-100,213.13999938964844,2039-04-20,call
Trd_19,MSFT,EQ_WAREHOU,EQ_Option,-100,213.3800048828125,2024-12-25,put
